start	end	text
2708959	2709399	Che devo fare?
2709419	2711621	Con il foglio, il secondo foglio, lo devo stantare?
2711681	2712421	Io l'ho vista molto.
2712441	2715583	Praticamente non so, non letta nei dettagli.
2715644	2726631	Io ho visto che Luigi l'ha girata, quella circolata, e quindi, perché una delle cose che avevo chiesto è che i docenti possano informare.
2726812	2727332	E l'ha fatto.
2730092	2743281	il problema è chiaramente a tutti quelli che fanno le sopprente, uno c'è la richiesta di disponibilità, l'altro a questo punto è quando tu
2743746	2746907	fai la lezione, ti serve ovviamente il fogliato con la compilazione.
2746967	2752928	Si, da tenere se c'è.
2753048	2762851	Ecco che ho detto ad Antonio, fare un orario in prospettiva, fino a quando poi l'organico non è completo.
2762871	2765112	Quelle ore servono quando ci sono
2766442	2771065	problemi di soprense, cioè sopprenti non sono arrivati, allora che fai?
2771085	2772186	Rimandi a casa?
2772266	2777089	Tu fai un orario e poi a questo punto coca.
2777129	2781172	Quindi anch'io posso fare?
2781252	2783574	Sì, tutto lo posso fare.
2783954	2787376	Io l'ho aperto all'ora buca, quando stavo
2789180	2797505	un'ora a buca però poi, visto, manca l'ora, hai dovuto fare il suplento e si è dito perché non c'è un paletto.
2798045	2807390	Magari parliamo di domani alla regno dei... Il problema è che io voglio fare le coperture su quelli di informatica che non hanno ancora fatto informatica in prima e seconda.
2807630	2808110	Certo.
2808170	2813613	TPSI non hanno ancora fatto una lezione del TPSI, cioè, non per fare, no?
2814608	2815689	Cosa è vedere gente?
2816229	2820250	A loro, quelli che prima stavano dicendo, poi ci lamentiamo se poi se ne vanno, no?
2821471	2825913	Perché qualcuno si sta lamentando che vorrebbe fare anche altre cose, ma non le sta facendo.
2826973	2830735	E' da più di un mese che stiamo qui senza insegnante.
2833058	2837942	Allora ho detto ok, allora a questo punto abbiamo questa opportunità, facciamo delle coperture, ma serie?
2838202	2844646	No, semplicemente per fare... li mettiamo in prime ore, seconde ore, arriva più tardi e te ne vai più presto.
2844706	2845687	Che cazzo risolviamo?
2846628	2847669	E' sempre un disagio?
2848029	2850411	E' un mese di scuola che si sono persi.
2851391	2853713	Tutti li possiamo fare, è chiaro.
2853773	2854153	Si?
2858436	2859317	Si è stato chiamato?
2861198	2862139	Ma chi era il chiamato?
2863937	2864418	Dall'alto!
2864498	2864878	All'alto!
2864998	2865278	All'alto!
2865378	2865738	All'alto!
2865758	2866079	All'alto!
2866159	2866359	All'alto!
2866379	2866619	All'alto!
2887437	2892139	No, mi sono andato nel salare.
2892539	2896961	Ma signora che non ha mai già venuto?
2897561	2898741	Sì, è andata via, ha fatto 8 ore.
2898861	2903283	No, non è uscito proprio, non è uscito proprio.
2903443	2903983	8 ore, domani?
2904023	2904083	No.
2904103	2905204	No, mi sa che dovrebbe venire.
2915051	2922056	non mi hanno comunicato niente dalla presidenza eri a casa, non stavi bene, settimana scorsa non c'è l'unica spiegazione è quella ma l'ha avuto da te o da Antonio?
2922116	2924558	infatti anche lui mi ha fatto conoscere
2942410	2944452	Benvenuti.
2945192	2950056	Sì, avevo la prima ora, in quinta e poi l'ultima.
2950136	2956021	Se domani, no, questo domani un giorno, non lo verrà.
2956181	2959764	Almeno mi prendo i dati da disegnare il computer.
2959804	2962146	E non vuoi venire, perché io non dico, non vuoi venire.
2966169	2967210	da delle ore pure al giorno e solo c'è roba
2981510	2982691	Non lo so, ma perché mi facciano mangiare i figli?
2982731	2983612	Non ci faccio ridere!
2984352	2986134	Chi figlia, chi figlia!
3004949	3015033	Come sono andate poi l'anno scorso le votazioni che aveva fatta la pagella voi?
3015234	3016414	Ormai l'ha fatte vedere?
3016514	3018455	No, ormai ha detto che è stato forzerato.
3018535	3020716	Rimandato a settembre!
3020796	3021256	Ciao ragazzi!
3021276	3021436	Ciao!
3036880	3039701	Non ti riconoscerò qua, se ne hai capito qualcosa?
3041281	3046262	Eh sì, ho perso trent'anni.
3046282	3046322	Eh?
3046442	3048742	Ho perso trent'anni.
3048782	3052003	Sennò sembrava il gemello di Alemanno.
3052143	3053764	Sì, con la barba.
3053784	3055584	Poi è diventata bianchissima.
3055744	3056904	Oddio, di chi è questo?
3057364	3058144	Di Cerva, di Cerva.
3058725	3059085	Cerva?
3059105	3059645	Ah, ok.
3060445	3064186	Pensavo fosse di Alemanno, e poi lo devo rincorre.
3064226	3064286	Ma...
